,visual parameter label,visual parameter value,xticks,yticks,ax_00_0_plot_x,ax_00_0_plot_y,preserved 0,preserved 1,ax_01_0_plot_x,ax_01_0_plot_y,ax_02_0_plot_x,ax_02_0_plot_y,ax_03_0_plot_x,ax_03_0_plot_y
11,ymin,auto,,,0.011005503,0.5817696,NONE_STR,NONE_STR,0.011005503,0.8350787,0.011005503,-0.800059,0.012006003,13.6327915
12,ymax,auto,,,0.012006003,0.8057814,NONE_STR,NONE_STR,0.012006003,1.0665745,0.012006003,-0.7144017,0.013006504,22.850208
13,yticks,['auto'],,,0.013006504,0.97694635,NONE_STR,NONE_STR,0.013006504,1.161023,0.013006504,-0.5708295,0.014007004,43.650944
14,,,,,0.014007004,1.0547217,NONE_STR,NONE_STR,0.014007004,1.1028655,0.014007004,-0.2965625,0.015007504,5.7330713
15,,,,,0.015007504,0.85044867,NONE_STR,NONE_STR,0.015007504,0.88015306,0.015007504,-0.2605405,0.016008005,-19.213814
16,,,,,0.016008005,0.76358837,NONE_STR,NONE_STR,0.016008005,0.8226595,0.016008005,-0.38126436,0.017008506,-4.2205634
17,,,,,0.017008506,0.98711073,NONE_STR,NONE_STR,0.017008506,1.0752814,0.017008506,-0.40778303,0.018009005,62.312725
18,,,,,0.018009005,1.070669,NONE_STR,NONE_STR,0.018009005,1.0708107,0.018009005,-0.016260622,0.019009504,-16.364601
19,,,,,0.019009504,0.8275726,NONE_STR,NONE_STR,0.019009504,0.8334752,0.019009504,-0.11908239,0.020010006,23.60187
20,,,,,0.020010006,1.0281289,NONE_STR,NONE_STR,0.020010006,1.0285677,0.020010006,0.029212587,0.021010507,19.836842
21,,,,,0.021010507,0.81478876,NONE_STR,NONE_STR,0.021010507,0.82452786,0.021010507,0.15385117,0.022011006,6.6069555
22,,,,,0.022011006,0.94021976,NONE_STR,NONE_STR,0.022011006,0.95845234,0.022011006,0.19536398,0.023011506,50.941444
23,,,,,0.023011506,0.6919532,NONE_STR,NONE_STR,0.023011506,0.79527843,0.023011506,0.51543856,0.024012007,-8.343152
24,,,,,0.024012007,0.60902935,NONE_STR,NONE_STR,0.024012007,0.680701,0.024012007,0.46301702,0.025012508,35.385273
25,,,,,0.025012508,0.44710508,NONE_STR,NONE_STR,0.025012508,0.5775074,0.025012508,0.6853492,0.026013007,-30.973919
26,,,,,0.026013007,0.37846902,NONE_STR,NONE_STR,0.026013007,0.4291095,0.026013007,0.4907343,0.027013507,20.305925
27,,,,,0.027013507,0.34331623,NONE_STR,NONE_STR,0.027013507,0.42132273,0.027013507,0.61832017,0.028014008,-14.180079
28,,,,,0.028014008,0.17218022,NONE_STR,NONE_STR,0.028014008,0.19946758,0.028014008,0.52922416,0.02901451,-172.50415
29,,,,,0.02901451,0.22158821,NONE_STR,NONE_STR,0.02901451,0.26066622,0.02901451,-0.55465144,0.030015009,10.870056
30,,,,,0.030015009,0.4077879,NONE_STR,NONE_STR,0.030015009,0.46127585,0.030015009,-0.48635286,0.031015508,20.311579
31,,,,,0.031015508,0.4511522,NONE_STR,NONE_STR,0.031015508,0.48182365,0.031015508,-0.35873133,0.03201601,-32.745632
32,,,,,0.03201601,0.46814802,NONE_STR,NONE_STR,0.03201601,0.55410796,0.03201601,-0.5644781,0.03301651,6.5599794
33,,,,,0.03301651,0.6878829,NONE_STR,NONE_STR,0.03301651,0.7941437,0.03301651,-0.5232605,0.03401701,36.35729
34,,,,,0.03401701,0.90113837,NONE_STR,NONE_STR,0.03401701,0.9417718,0.03401701,-0.2948208,0.03501751,6.1341166
35,,,,,0.03501751,0.8879794,NONE_STR,NONE_STR,0.03501751,0.91796005,0.03501751,-0.25627896,0.03601801,-2.5670128
36,,,,,0.03601801,1.2255032,NONE_STR,NONE_STR,0.03601801,1.2724228,0.03601801,-0.27240804,0.03701851,60.44641
37,,,,,0.03701851,1.5114264,NONE_STR,NONE_STR,0.03701851,1.5201836,0.03701851,0.10738792,0.03801901,26.335651
38,,,,,0.03801901,1.2204273,NONE_STR,NONE_STR,0.03801901,1.2673125,0.03801901,0.27285966,0.03901951,-9.539118
39,,,,,0.03901951,1.4475808,NONE_STR,NONE_STR,0.03901951,1.4810264,0.03901951,0.21292372,0.04002001,41.088745
40,,,,,0.04002001,1.482832,NONE_STR,NONE_STR,0.04002001,1.6640966,0.04002001,0.4710919,0.041020513,18.282557
41,,,,,0.041020513,1.3375646,NONE_STR,NONE_STR,0.041020513,1.6053747,0.041020513,0.58596456,0.042021014,21.412565
42,,,,,0.042021014,1.3355368,NONE_STR,NONE_STR,0.042021014,1.777224,0.042021014,0.7205036,0.04302151,33.055496
43,,,,,0.04302151,1.0481468,NONE_STR,NONE_STR,0.04302151,1.7490158,0.04302151,0.9281973,0.044022013,15.52851
44,,,,,0.044022013,0.871512,NONE_STR,NONE_STR,0.044022013,1.6810142,0.044022013,1.0257658,0.045022514,14.270504
45,,,,,0.045022514,0.76771724,NONE_STR,NONE_STR,0.045022514,1.7456402,0.045022514,1.1154301,0.04602301,29.771618
46,,,,,0.04602301,0.49064583,NONE_STR,NONE_STR,0.04602301,1.8508097,0.04602301,1.3024908,0.047023512,33.732594
47,,,,,0.047023512,0.09360021,NONE_STR,NONE_STR,0.047023512,1.661719,0.047023512,1.5144391,0.048024014,-0.38799268
48,,,,,0.048024014,0.09149347,NONE_STR,NONE_STR,0.048024014,1.5570425,0.048024014,1.5120014,0.049024515,28.12023
49,,,,,0.049024515,-0.19296202,NONE_STR,NONE_STR,0.049024515,1.6405988,0.049024515,1.688686,0.050025016,12.528198
50,,,,,0.050025016,-0.26563552,NONE_STR,NONE_STR,0.050025016,1.3598452,0.050025016,1.767403,0.051025514,-7.7758665
51,,,,,0.051025514,-0.23201151,NONE_STR,NONE_STR,0.051025514,1.5760309,0.051025514,1.7185458,0.052026015,50.897243
52,,,,,0.052026015,-0.7349348,NONE_STR,NONE_STR,0.052026015,1.6306621,0.052026015,2.0383425,0.053026516,13.878262
53,,,,,0.053026516,-0.683833,NONE_STR,NONE_STR,0.053026516,1.2982678,0.053026516,2.1255422,0.054027013,5.853813
54,,,,,0.054027013,-0.7539511,NONE_STR,NONE_STR,0.054027013,1.3520663,0.054027013,2.1623228,0.055027515,22.213634
55,,,,,0.055027515,-0.7937387,NONE_STR,NONE_STR,0.055027515,1.1887867,0.055027515,2.3018951,0.056028016,-0.028648848
56,,,,,0.056028016,-0.7937093,NONE_STR,NONE_STR,0.056028016,1.1889812,0.056028016,2.3017151,0.057028517,32.803726
57,,,,,0.057028517,-0.8424205,NONE_STR,NONE_STR,0.057028517,1.0454419,0.057028517,2.507827,0.05802902,-30.17365
58,,,,,0.05802902,-0.58593386,NONE_STR,NONE_STR,0.05802902,0.86196345,0.05802902,2.3182404,0.059029516,-2.8512623
59,,,,,0.059029516,-0.6606984,NONE_STR,NONE_STR,0.059029516,0.99126774,0.059029516,2.3003254,0.060030017,4.634435
60,,,,,0.060030017,-0.721578,NONE_STR,NONE_STR,0.060030017,1.0488954,0.060030017,2.3294444,0.06103052,22.111826
61,,,,,0.06103052,-0.8478166,NONE_STR,NONE_STR,0.06103052,1.0844128,0.06103052,2.468377,0.062031016,-2.2523687
62,,,,,0.062031016,-0.8296075,NONE_STR,NONE_STR,0.062031016,1.0733434,0.062031016,2.454225,0.06303152,30.150503
63,,,,,0.06303152,-1.0529636,NONE_STR,NONE_STR,0.06303152,1.1984906,0.06303152,2.643666,0.06403202,12.918923
64,,,,,0.06403202,-0.90656894,NONE_STR,NONE_STR,0.06403202,0.9914277,0.06403202,2.724838,0.06503252,-7.550698
65,,,,,0.06503252,-1.0199282,NONE_STR,NONE_STR,0.06503252,1.140628,0.06503252,2.6773956,0.06603302,37.07996
66,,,,,0.06603302,-1.1537555,NONE_STR,NONE_STR,0.06603302,1.1852983,0.06603302,2.910376,0.06703352,25.21759
67,,,,,0.06703352,-1.0374994,NONE_STR,NONE_STR,0.06703352,1.0402524,0.06703352,3.0688229,0.06803402,-13.003921
68,,,,,0.06803402,-0.91514766,NONE_STR,NONE_STR,0.06803402,0.92617625,0.06803402,2.987117,0.06903452,15.721198
69,,,,,0.06903452,-1.123552,NONE_STR,NONE_STR,0.06903452,1.125297,0.06903452,3.085896,0.07003502,38.282906
70,,,,,0.07003502,-0.97500855,NONE_STR,NONE_STR,0.07003502,0.9919053,0.07003502,-2.9567509,0.07103552,9.544582
71,,,,,0.07103552,-0.9325414,NONE_STR,NONE_STR,0.07103552,0.9612016,0.07103552,-2.8967805,0.07203602,31.417198
72,,,,,0.07203602,-0.6589686,NONE_STR,NONE_STR,0.07203602,0.72910315,0.07203602,-2.6993802,0.07303652,-53.18638
73,,,,,0.07303652,-0.7745775,NONE_STR,NONE_STR,0.07303652,0.7791196,0.07303652,-3.0335603,0.07403702,66.74506
74,,,,,0.07403702,-0.78051805,NONE_STR,NONE_STR,0.07403702,0.90325564,0.07403702,-2.6141884,0.075037524,35.257282
75,,,,,0.075037524,-0.41294637,NONE_STR,NONE_STR,0.075037524,0.5638138,0.075037524,-2.3926604,0.07603802,-46.652924
76,,,,,0.07603802,-0.36821893,NONE_STR,NONE_STR,0.07603802,0.41008547,0.07603802,-2.6857893,0.07703852,-40.88885
77,,,,,0.07703852,-0.5084816,NONE_STR,NONE_STR,0.07703852,0.5187073,0.07703852,-2.9427016,0.07803902,64.975586
78,,,,,0.07803902,-0.41958436,NONE_STR,NONE_STR,0.07803902,0.5108905,0.07803902,-2.5344481,0.07903952,-33.48834
79,,,,,0.07903952,-0.1940226,NONE_STR,NONE_STR,0.07903952,0.21036159,0.07903952,-2.7448616,0.08004002,-148.38396
80,,,,,0.08004002,-0.2693652,NONE_STR,NONE_STR,0.08004002,0.31322753,0.08004002,2.6060004,0.081040524,-4.016379
81,,,,,0.081040524,-0.4909483,NONE_STR,NONE_STR,0.081040524,0.57975864,0.081040524,2.5807645,0.082041025,34.98453
82,,,,,0.082041025,-0.66861093,NONE_STR,NONE_STR,0.082041025,0.70946467,0.082041025,2.8005788,0.08304153,12.745665
83,,,,,0.08304153,-0.78705245,NONE_STR,NONE_STR,0.08304153,0.81462723,0.08304153,2.8806624,0.08404203,15.6723995
84,,,,,0.08404203,-0.85619825,NONE_STR,NONE_STR,0.08404203,0.8676225,0.08404203,2.9791346,0.08504252,9.849815
85,,,,,0.08504252,-1.0298413,NONE_STR,NONE_STR,0.08504252,1.0350714,0.08504252,3.041023,0.08604302,26.575432
86,,,,,0.08604302,-1.014123,NONE_STR,NONE_STR,0.08604302,1.0163633,0.08604302,-3.075184,0.087043524,-12.678803
87,,,,,0.087043524,-1.1989053,NONE_STR,NONE_STR,0.087043524,1.1990107,0.087043524,3.128338,0.088044025,42.181427
88,,,,,0.088044025,-1.330942,NONE_STR,NONE_STR,0.088044025,1.3742718,0.088044025,-2.8898137,0.089044526,7.3702292
89,,,,,0.089044526,-1.3205239,NONE_STR,NONE_STR,0.089044526,1.3814459,0.089044526,-2.8435047,0.09004503,33.501167
90,,,,,0.09004503,-1.3696015,NONE_STR,NONE_STR,0.09004503,1.5680616,0.09004503,-2.633011,0.09104553,14.608105
91,,,,,0.09104553,-1.1857408,NONE_STR,NONE_STR,0.09104553,1.4370383,0.09104553,-2.5412254,0.09204602,10.566986
92,,,,,0.09204602,-1.2960804,NONE_STR,NONE_STR,0.09204602,1.649317,0.09204602,-2.474831,0.09304652,29.989614
93,,,,,0.09304652,-1.132051,NONE_STR,NONE_STR,0.09304652,1.7254928,0.09304652,-2.286401,0.094047025,29.06048
94,,,,,0.094047025,-0.86760235,NONE_STR,NONE_STR,0.094047025,1.7074416,0.094047025,-2.1038086,0.095047526,8.624707
95,,,,,0.095047526,-0.7421207,NONE_STR,NONE_STR,0.095047526,1.6107384,0.095047526,-2.0496175,0.09604803,22.242056
96,,,,,0.09604803,-0.5977137,NONE_STR,NONE_STR,0.09604803,1.797037,0.09604803,-1.9098668,0.09704853,25.98166
97,,,,,0.09704853,-0.28859645,NONE_STR,NONE_STR,0.09704853,1.6498919,0.09704853,-1.7466192,0.09804903,15.368229
98,,,,,0.09804903,-0.13928252,NONE_STR,NONE_STR,0.09804903,1.7590992,0.09804903,-1.6500576,0.09904953,35.729176
99,,,,,0.09904953,0.22500777,NONE_STR,NONE_STR,0.09904953,1.5547618,0.09904953,-1.4255646,0.10005003,-8.255725
100,,,,,0.10005003,0.13999055,NONE_STR,NONE_STR,0.10005003,1.5016534,0.10005003,-1.4774365,0.101050526,30.46621
101,,,,,0.101050526,0.439735,NONE_STR,NONE_STR,0.101050526,1.5651681,0.101050526,-1.2860118,0.10205103,14.137201
102,,,,,0.10205103,0.5198511,NONE_STR,NONE_STR,0.10205103,1.424329,0.10205103,-1.1971854,0.10305153,16.933708
103,,,,,0.10305153,0.63813555,NONE_STR,NONE_STR,0.10305153,1.3818836,0.10305153,-1.0907878,0.10405203,10.87275
104,,,,,0.10405203,0.6713345,NONE_STR,NONE_STR,0.10405203,1.2879119,0.10405203,-1.0224718,0.10505253,10.165218
105,,,,,0.10505253,0.7023603,NONE_STR,NONE_STR,0.10505253,1.2222092,0.10505253,-0.9586022,0.10605303,7.622415
106,,,,,0.10605303,0.75164676,NONE_STR,NONE_STR,0.10605303,1.2258062,0.10605303,-0.91070926,0.10705353,20.598637
107,,,,,0.10705353,0.79080665,NONE_STR,NONE_STR,0.10705353,1.1137967,0.10705353,-0.7812841,0.10805403,-13.435589
108,,,,,0.10805403,0.70424724,NONE_STR,NONE_STR,0.10805403,1.0866247,0.10805403,-0.8657025,0.10905453,22.009752
109,,,,,0.10905453,0.85892427,NONE_STR,NONE_STR,0.10905453,1.1499877,0.10905453,-0.7274107,0.11005503,7.579385
110,,,,,0.11005503,0.85000247,NONE_STR,NONE_STR,0.11005503,1.0929611,0.11005503,-0.67978793,0.11105553,19.478333
111,,,,,0.11105553,0.9061678,NONE_STR,NONE_STR,0.11105553,1.0677979,0.11105553,-0.55740196,0.11205603,-3.173837
112,,,,,0.11205603,0.83599216,NONE_STR,NONE_STR,0.11205603,0.997705,0.11205603,-0.5773441,0.11305653,15.328841
113,,,,,0.11305653,0.90356493,NONE_STR,NONE_STR,0.11305653,1.0192283,0.11305653,-0.4810304,0.114057034,-5.7517023
114,,,,,0.114057034,0.859723,NONE_STR,NONE_STR,0.114057034,0.98907155,0.114057034,-0.5171693,0.115057535,23.069267
115,,,,,0.115057535,1.0171942,NONE_STR,NONE_STR,0.115057535,1.0919701,0.115057535,-0.3722206,0.11605804,10.019432
116,,,,,0.11605804,0.9478599,NONE_STR,NONE_STR,0.11605804,0.99506897,0.11605804,-0.30926684,0.11705853,13.160864
117,,,,,0.11705853,1.0433979,NONE_STR,NONE_STR,0.11705853,1.0707649,0.11705853,-0.2265745,0.11805903,18.902548
118,,,,,0.11805903,1.0191956,NONE_STR,NONE_STR,0.11805903,1.0251471,0.11805903,-0.10780661,0.11905953,24.433027
119,,,,,0.11905953,1.0148916,NONE_STR,NONE_STR,0.11905953,1.0159528,0.11905953,0.04571096,0.120060034,8.450917
120,,,,,0.120060034,0.8410283,NONE_STR,NONE_STR,0.120060034,0.84515065,0.120060034,0.09880919,0.121060535,-1.1775246
121,,,,,0.121060535,0.908642,NONE_STR,NONE_STR,0.121060535,0.91245157,0.121060535,0.091411024,0.12206104,22.37198
122,,,,,0.12206104,0.8589553,NONE_STR,NONE_STR,0.12206104,0.88259697,0.12206104,0.23197813,0.12306154,21.73814
123,,,,,0.12306154,0.8616828,NONE_STR,NONE_STR,0.12306154,0.9237136,0.12306154,0.36856252,0.12406203,56.04246
124,,,,,0.12406203,0.5977027,NONE_STR,NONE_STR,0.12406203,0.7955033,0.12406203,0.72068846,0.12506254,17.83833
125,,,,,0.12506254,0.3147608,NONE_STR,NONE_STR,0.12506254,0.46781695,0.12506254,0.8327701,0.12606303,-72.29694
126,,,,,0.12606303,0.36502057,NONE_STR,NONE_STR,0.12606303,0.39282694,0.12606303,0.37851426,0.12706354,16.689795
127,,,,,0.12706354,0.36543742,NONE_STR,NONE_STR,0.12706354,0.4127234,0.12706354,0.4833793,0.12806404,-42.40409
128,,,,,0.12806404,0.28093043,NONE_STR,NONE_STR,0.12806404,0.2876737,0.12806404,0.2169467,0.12906453,-37.68405
129,,,,,0.12906453,0.30891386,NONE_STR,NONE_STR,0.12906453,0.3089746,0.12906453,-0.019829141,0.13006504,-69.08349
130,,,,,0.13006504,0.36004508,NONE_STR,NONE_STR,0.13006504,0.400608,0.13006504,-0.45389384,0.13106553,31.669538
131,,,,,0.13106553,0.4951681,NONE_STR,NONE_STR,0.13106553,0.511703,0.13106553,-0.25490803,0.13206604,-32.285316
132,,,,,0.13206604,0.5195501,NONE_STR,NONE_STR,0.13206604,0.5791804,0.13206604,-0.45776254,0.13306653,38.980797
133,,,,,0.13306653,0.69342625,NONE_STR,NONE_STR,0.13306653,0.7094346,0.13306653,-0.21283945,0.13406704,-44.192234
134,,,,,0.13406704,0.6581179,NONE_STR,NONE_STR,0.13406704,0.74608594,0.13406704,-0.49050736,0.13506754,49.33734
135,,,,,0.13506754,1.1827952,NONE_STR,NONE_STR,0.13506754,1.2023306,0.13506754,-0.18051149,0.13606805,39.013737
136,,,,,0.13606805,1.0232751,NONE_STR,NONE_STR,0.13606805,1.0254153,0.13606805,0.06461923,0.13706854,-1.6142772
137,,,,,0.13706854,1.2651371,NONE_STR,NONE_STR,0.13706854,1.2670166,0.13706854,0.05447623,0.13806903,42.730953
138,,,,,0.13806903,1.1330472,NONE_STR,NONE_STR,0.13806903,1.1948204,0.13806903,0.322963,0.13906954,-22.955505
139,,,,,0.13906954,1.3195912,NONE_STR,NONE_STR,0.13906954,1.3409519,0.13906954,0.17872915,0.14007004,52.51778
140,,,,,0.14007004,1.4598612,NONE_STR,NONE_STR,0.14007004,1.6715178,0.14007004,0.5087079,0.14107054,31.139286
141,,,,,0.14107054,1.0628363,NONE_STR,NONE_STR,0.14107054,1.3947527,0.14107054,0.7043619,0.14207104,-11.784505
142,,,,,0.14207104,1.2387147,NONE_STR,NONE_STR,0.14207104,1.5333657,0.14207104,0.6303177,0.14307155,39.512188
143,,,,,0.14307155,1.1475306,NONE_STR,NONE_STR,0.14307155,1.797946,0.14307155,0.87857956,0.14407204,33.995823
144,,,,,0.14407204,0.75067544,NONE_STR,NONE_STR,0.14407204,1.6299559,0.14407204,1.0921822,0.14507253,6.941597
145,,,,,0.14507253,0.6940729,NONE_STR,NONE_STR,0.14507253,1.6470286,0.14507253,1.1357977,0.14607304,28.662205
146,,,,,0.14607304,0.42576706,NONE_STR,NONE_STR,0.14607304,1.6885023,0.14607304,1.315888,0.14707354,16.126379
147,,,,,0.14707354,0.25462022,NONE_STR,NONE_STR,0.14707354,1.6643931,0.14707354,1.4172124,0.14807405,31.082064
148,,,,,0.14807405,-0.07252257,NONE_STR,NONE_STR,0.14807405,1.739193,0.14807405,1.6125073,0.14907454,35.176384
149,,,,,0.14907454,-0.40573943,NONE_STR,NONE_STR,0.14907454,1.562231,0.14907454,1.8335265,0.15007505,12.033427
150,,,,,0.15007505,-0.4402606,NONE_STR,NONE_STR,0.15007505,1.326403,0.15007505,1.9091352,0.15107554,1.6908512
151,,,,,0.15107554,-0.44926044,NONE_STR,NONE_STR,0.15107554,1.3139225,0.15107554,1.9197589,0.15207604,28.719122
152,,,,,0.15207604,-0.62893933,NONE_STR,NONE_STR,0.15207604,1.2453653,0.15207604,2.1002061,0.15307654,-4.044534
153,,,,,0.15307654,-0.49264044,NONE_STR,NONE_STR,0.15307654,1.0201081,0.15307654,2.0747936,0.15407704,-14.211802
154,,,,,0.15407704,-0.44579923,NONE_STR,NONE_STR,0.15407704,1.1064298,0.15407704,1.985498,0.15507755,17.5718
155,,,,,0.15507755,-0.64774024,NONE_STR,NONE_STR,0.15507755,1.2921028,0.15507755,2.095905,0.15607804,52.008705
156,,,,,0.15607804,-0.9568831,NONE_STR,NONE_STR,0.15607804,1.2715613,0.15607804,2.4226859,0.15707855,10.824939
157,,,,,0.15707855,-0.7002894,NONE_STR,NONE_STR,0.15707855,0.88026536,0.15707855,2.4907005,0.15807904,-27.242586
158,,,,,0.15807904,-0.64095235,NONE_STR,NONE_STR,0.15807904,0.941591,0.15807904,2.3195305,0.15907955,13.716992
159,,,,,0.15907955,-0.66492754,NONE_STR,NONE_STR,0.15907955,0.8970437,0.15907955,2.405717,0.16008005,-15.518797
160,,,,,0.16008005,-0.6718163,NONE_STR,NONE_STR,0.16008005,0.9991683,0.16008005,2.3082097,0.16108054,41.006027
161,,,,,0.16108054,-0.9287684,NONE_STR,NONE_STR,0.16108054,1.1072682,0.16108054,2.5658581,0.16208105,14.620854
162,,,,,0.16208105,-0.7693207,NONE_STR,NONE_STR,0.16208105,0.869091,0.16208105,2.6577234,0.16308154,-20.680294
163,,,,,0.16308154,-0.79456115,NONE_STR,NONE_STR,0.16308154,0.97198653,0.16308154,2.5277855,0.16408205,37.607174
164,,,,,0.16408205,-0.93438876,NONE_STR,NONE_STR,0.16408205,1.0051693,0.16408205,2.7640777,0.16508254,-8.807908
165,,,,,0.16508254,-0.8040979,NONE_STR,NONE_STR,0.16508254,0.88579357,0.16508254,2.708736,0.16608305,19.106316
166,,,,,0.16608305,-1.0090148,NONE_STR,NONE_STR,0.16608305,1.0604762,0.16608305,2.8287852,0.16708355,28.412067
167,,,,,0.16708355,-0.8520661,NONE_STR,NONE_STR,0.16708355,0.8598072,0.16708355,3.007303,0.16808406,-34.07976
168,,,,,0.16808406,-0.8935384,NONE_STR,NONE_STR,0.16808406,0.95066005,0.16808406,2.7931738,0.16908455,48.55217
169,,,,,0.16908455,-1.1734146,NONE_STR,NONE_STR,0.16908455,1.1745183,0.16908455,3.0982363,0.17008504,47.321064
170,,,,,0.17008504,-0.92597234,NONE_STR,NONE_STR,0.17008504,0.95665956,0.17008504,-2.8876224,0.17108555,-6.541348
171,,,,,0.17108555,-0.7914549,NONE_STR,NONE_STR,0.17108555,0.80973166,0.17108555,-2.9287229,0.17208605,14.523107
172,,,,,0.17208605,-0.77822477,NONE_STR,NONE_STR,0.17208605,0.8156549,0.17208605,-2.837471,0.17308655,18.958479
173,,,,,0.17308655,-0.6696483,NONE_STR,NONE_STR,0.17308655,0.73445463,0.17308655,-2.7183518,0.17408705,19.049397
174,,,,,0.17408705,-0.52542657,NONE_STR,NONE_STR,0.17408705,0.6136744,0.17408705,-2.5986607,0.17508756,-24.176897
175,,,,,0.17508756,-0.4525473,NONE_STR,NONE_STR,0.17508756,0.48949474,0.17508756,-2.7505686,0.17608805,-0.23844948
176,,,,,0.17608805,-0.49345672,NONE_STR,NONE_STR,0.17608805,0.5334153,0.17608805,-2.7520666,0.17708854,9.458901
177,,,,,0.17708854,-0.40730226,NONE_STR,NONE_STR,0.17708854,0.45210597,0.17708854,-2.692635,0.17808905,4.5697
178,,,,,0.17808905,-0.35109812,NONE_STR,NONE_STR,0.17808905,0.39535025,0.17808905,-2.6639228,0.17908955,-41.55487
179,,,,,0.17908955,-0.24687183,NONE_STR,NONE_STR,0.17908955,0.25277683,0.17908955,-2.9250193,0.18009005,-71.89138
180,,,,,0.18009005,-0.27888685,NONE_STR,NONE_STR,0.18009005,0.28677806,0.18009005,2.906459,0.18109055,-80.04845
181,,,,,0.18109055,-0.29820794,NONE_STR,NONE_STR,0.18109055,0.4031182,0.18109055,2.4034996,0.18209106,29.584736
182,,,,,0.18209106,-0.6020343,NONE_STR,NONE_STR,0.18209106,0.7071368,0.18209106,2.5893857,0.18309155,30.73418
183,,,,,0.18309155,-0.7157828,NONE_STR,NONE_STR,0.18309155,0.76455027,0.18309155,2.7824948,0.18409204,8.397035
184,,,,,0.18409204,-0.88299924,NONE_STR,NONE_STR,0.18409204,0.92611504,0.18409204,2.8352551,0.18509255,33.006054
185,,,,,0.18509255,-1.0068294,NONE_STR,NONE_STR,0.18509255,1.011779,0.18509255,3.042638,0.18609305,3.207305
186,,,,,0.18609305,-1.0084518,NONE_STR,NONE_STR,0.18609305,1.0115911,0.18609305,3.0627906,0.18709356,7.027202
187,,,,,0.18709356,-1.2333089,NONE_STR,NONE_STR,0.18709356,1.2340496,0.18709356,3.1069438,0.18809405,28.52894
188,,,,,0.18809405,-1.3627431,NONE_STR,NONE_STR,0.18809405,1.377116,0.18809405,-2.9969893,0.18909456,16.96103
189,,,,,0.18909456,-1.4739484,NONE_STR,NONE_STR,0.18909456,1.5216967,0.18909456,-2.8904202,0.19009505,39.005997
190,,,,,0.19009505,-1.5023127,NONE_STR,NONE_STR,0.19009505,1.7083927,0.19009505,-2.6453378,0.19109556,32.49895
191,,,,,0.19109556,-1.1735183,NONE_STR,NONE_STR,0.19109556,1.5349113,0.19109556,-2.4411411,0.19209605,-1.2456747
192,,,,,0.19209605,-1.2003609,NONE_STR,NONE_STR,0.19209605,1.5597764,0.19209605,-2.4489677,0.19309655,29.91547
193,,,,,0.19309655,-1.0943015,NONE_STR,NONE_STR,0.19309655,1.7187159,0.19309655,-2.2610037,0.19409706,21.023321
194,,,,,0.19409706,-0.835623,NONE_STR,NONE_STR,0.19409706,1.5778764,0.19409706,-2.12891,0.19509755,6.3557186
195,,,,,0.19509755,-0.85857195,NONE_STR,NONE_STR,0.19509755,1.7334392,0.19509755,-2.0889761,0.19609806,42.247303
196,,,,,0.19609806,-0.43911022,NONE_STR,NONE_STR,0.19609806,1.7560881,0.19609806,-1.8235284,0.19709855,4.9622083
197,,,,,0.19709855,-0.340542,NONE_STR,NONE_STR,0.19709855,1.5497098,0.19709855,-1.79235,0.19809906,23.006504
198,,,,,0.19809906,-0.13741189,NONE_STR,NONE_STR,0.19809906,1.7863389,0.19809906,-1.6477962,0.19909956,40.657536
199,,,,,0.19909956,0.26710492,NONE_STR,NONE_STR,0.19909956,1.504696,0.19909956,-1.3923364,0.20010006,-13.96713
